
Time;TrialNum;TriggerNum,Referencelandmark;Displaylandmark, GroundTruthDirection; EstDirection; Angle
7/29/2022 3:27:35 PM;;;;;;;
Time;TrialNum;TriggerNum,Referencelandmark;Displaylandmark, GroundTruthDirection; EstDirection; Angle
7/30/2022 1:30:37 PM;10;12;lm4front;lm6(Struct_Pavilion_B);(-0.909, 0.000, -0.416);(-0.995, 0.000, 0.092);29.885
7/30/2022 1:30:37 PM;11;13;lm3front;lm1(RoofPiece_A);(-0.127, 0.000, -0.992);(-0.995, 0.000, 0.092);87.950
7/30/2022 1:30:45 PM;12;15;lm3front;lm4(Fcapsule);(0.107, 0.000, 0.994);(-0.232, 0.000, -0.972);172.708
7/30/2022 1:30:46 PM;13;16;lm3front;lm5(CobbleRock_E);(-0.489, 0.000, 0.872);(-0.289, 0.000, -0.955);133.846
7/30/2022 1:30:46 PM;14;17;lm3front;lm6(Struct_Pavilion_B);(-0.989, 0.000, 0.146);(-0.279, 0.000, -0.956);82.166
7/30/2022 1:30:46 PM;15;18;lm3front;lm6(Struct_Pavilion_B);(-0.989, 0.000, 0.146);(-0.265, 0.000, -0.960);82.983
7/30/2022 1:30:46 PM;16;19;lm2front;lm1(RoofPiece_A);(0.951, 0.000, -0.298);(-0.252, 0.000, -0.963);87.227
7/30/2022 1:30:47 PM;17;20;lm2front;lm3(Car);(0.421, 0.000, 0.906);(-0.237, 0.000, -0.967);168.827
7/30/2022 1:30:48 PM;18;22;lm2front;lm5(CobbleRock_E);(-0.010, 0.000, 1.000);(-0.242, 0.000, -0.964);165.333
7/30/2022 1:30:48 PM;19;23;lm2front;lm6(Struct_Pavilion_B);(-0.395, 0.000, 0.919);(-0.248, 0.000, -0.962);142.240
7/30/2022 1:30:49 PM;20;24;lm2front;lm6(Struct_Pavilion_B);(-0.395, 0.000, 0.919);(-0.253, 0.000, -0.960);141.941
7/30/2022 1:30:49 PM;21;25;lm6front;lm1(RoofPiece_A);(0.518, 0.000, -0.856);(-0.260, 0.000, -0.959);46.343
7/30/2022 1:30:49 PM;22;26;lm6front;lm2(Barn);(0.393, 0.000, -0.920);(-0.275, 0.000, -0.955);39.190
7/30/2022 1:30:50 PM;23;27;lm6front;lm3(Car);(0.986, 0.000, -0.165);(-0.272, 0.000, -0.956);96.373
7/30/2022 1:30:50 PM;24;29;lm6front;lm5(CobbleRock_E);(0.553, 0.000, 0.833);(-0.278, 0.000, -0.955);162.640
7/30/2022 1:30:50 PM;25;30;lm6front;lm5(CobbleRock_E);(0.553, 0.000, 0.833);(-0.285, 0.000, -0.955);163.035
7/30/2022 1:30:51 PM;26;31;lm5front;lm1(RoofPiece_A);(0.145, 0.000, -0.989);(-0.284, 0.000, -0.957);24.852
7/30/2022 1:30:51 PM;27;32;lm5front;lm2(Barn);(0.013, 0.000, -1.000);(-0.275, 0.000, -0.960);16.706
7/30/2022 1:30:51 PM;28;33;lm5front;lm3(Car);(0.470, 0.000, -0.883);(-0.273, 0.000, -0.961);43.899
7/30/2022 1:30:52 PM;29;34;lm5front;lm4(Fcapsule);(0.905, 0.000, -0.426);(-0.252, 0.000, -0.967);79.358
7/30/2022 1:30:52 PM;30;36;lm5front;lm6(Struct_Pavilion_B);(-0.580, 0.000, -0.814);(-0.366, 0.000, -0.930);13.998
Time;TrialNum;TriggerNum,Referencelandmark;Displaylandmark, GroundTruthDirection; EstDirection; Angle
8/1/2022 3:26:49 PM;;;;;;;
